CON,RA,DEC
PEG,22.716667,30.2167
PEG,22.166667,33.1667
PEG,,
PEG,0.139722,29.0833
PEG,0.220556,15.1833
PEG,23.079444,15.2000
PEG,23.063056,28.0833
PEG,22.833611,24.6000
PEG,22.775556,23.5667
PEG,22.116667,25.3333
PEG,21.744167,25.6500
PEG,,
PEG,23.079444,15.2000
PEG,22.690833,10.8333
PEG,22.170000,6.2000
PEG,21.736389,9.8833
PEG,,
PER,2.845000,55.9000
PER,2.904444,52.7667
PER,3.080000,53.5000
PER,,
PER,2.904444,52.7667
PER,3.151111,49.6167
PER,3.405556,49.8500
PER,,
PER,2.845000,55.9000
PER,3.080000,53.5000
PER,3.405556,49.8500
PER,3.509444,48.0000
PER,3.753333,42.5833
PER,3.964167,40.0000
PER,3.982500,35.7833
PER,3.902222,31.8833
PER,3.738611,32.2833
PER,,
PER,3.405556,49.8500
PER,3.608333,48.2000
PER,3.715278,47.7833
PER,4.144444,47.7167
PER,4.248333,48.4000
PER,4.109722,50.3500
PER,,
PER,3.151111,49.6167
PER,3.158333,44.8667
PER,3.136389,40.9500
PER,3.964167,40.0000
PER,,
PER,3.136389,40.9500
PER,3.086389,38.8333
PER,2.843056,38.3167
PER,,
PER,3.151111,49.6167
PER,2.736667,49.2167
PER,1.727500,50.6833
PER,,
PSC,1.229167,24.5833
PSC,1.194444,30.1000
PSC,1.324444,27.2667
PSC,1.229167,24.5833
PSC,1.524722,15.3500
PSC,1.756667,9.1500
PSC,2.033889,2.7667
PSC,1.892778,3.2000
PSC,1.690556,5.4833
PSC,1.048889,7.8833
PSC,0.811389,7.5833
PSC,23.988611,6.8667
PSC,23.665833,5.6333
PSC,23.466111,6.3833
PSC,23.286111,3.2833
PSC,23.448889,1.2500
PSC,23.700833,1.7833
PSC,23.665833,5.6333
PSC,,
PSC,23.286111,3.2833
PSC,23.064444,3.8167
PSC,,
UMA,13.792222,49.3167
UMA,13.398889,54.9333
UMA,12.900556,55.9500
UMA,12.257222,57.0333
UMA,11.062222,61.7500
UMA,9.525556,63.0667
UMA,8.504444,60.7167
UMA,8.986944,48.0333
UMA,9.060278,47.1500
UMA,10.371944,41.5000
UMA,11.303056,31.5333
UMA,11.308056,33.0833
UMA,11.161111,44.4833
UMA,11.767500,47.7833
UMA,13.792222,49.3167
UMA,,
UMA,12.257222,57.0333
UMA,11.896944,53.7000
UMA,11.030833,56.3833
UMA,11.062222,61.7500
UMA,,
UMA,9.525556,63.0667
UMA,9.849722,59.0500
UMA,9.868333,54.0667
UMA,9.547500,51.6833
UMA,10.285000,42.9167
UMA,10.371944,41.5000
UMA,,
UMI,2.520278,89.2500
UMI,17.536389,86.5833
UMI,16.766111,82.0333
UMI,15.734167,77.8000
UMI,16.291667,75.7500
UMI,15.345556,71.8333
UMI,14.845278,74.1500
UMI,15.734167,77.8000
UMI,,
CEP,23.655556,77.6167
CEP,22.828056,66.2000
CEP,22.180833,58.2000
CEP,21.309722,62.5833
CEP,21.477500,70.5500
CEP,23.655556,77.6167
CEP,,
CEP,21.477500,70.5500
CEP,22.828056,66.2000
CEP,,
CHA,8.308889,-76.9167
CHA,10.591111,-78.6000
CHA,12.305556,-79.3000
CHA,10.763056,-80.5500
CHA,8.344167,-77.4833
CHA,8.308889,-76.9167
CHA,,
CIR,15.389722,-59.3333
CIR,14.708333,-64.9667
CIR,15.291944,-58.8000
CIR,,
COM,13.166389,17.5167
COM,13.197778,27.8833
COM,12.448889,28.2667
COM,,
CRA,18.556389,-38.7333
CRA,18.729444,-38.3167
CRA,18.978889,-37.1000
CRA,19.106944,-37.0500
CRA,19.157778,-37.9167
CRA,19.167222,-39.3333
CRA,19.138889,-40.5000
CRA,19.051944,-42.1000
CRA,18.814167,-43.6667
CRA,18.558333,-42.3167
CRA,,
CRB,15.548889,31.3667
CRB,15.463611,29.1000
CRB,15.578056,26.7167
CRB,15.712500,26.3000
CRB,15.826667,26.0667
CRB,15.959722,26.8833
CRB,16.023889,29.8500
CRB,,
CRU,12.795556,-59.7000
CRU,12.252500,-58.7500
CRU,,
CRU,12.519444,-57.1167
CRU,12.443333,-63.1000
CRU,,
CRV,12.140000,-24.7167
CRV,12.168889,-22.6167
CRV,12.263611,-17.5333
CRV,12.497500,-16.5167
CRV,12.573056,-23.4000
CRV,12.168889,-22.6167
CRV,,
CVN,12.933889,38.3167
CVN,12.562500,41.3500
CVN,,
CYG,19.512500,27.9667
CYG,19.842500,32.9167
CYG,19.983611,35.0833
CYG,20.370278,40.2500
CYG,20.690556,45.2667
CYG,,
CYG,21.215556,30.2333
CYG,20.770278,33.9667
CYG,20.370278,40.2500
CYG,19.749444,45.1333
CYG,19.495000,51.7333
CYG,,
DEL,20.553611,11.3000
DEL,20.625833,14.6000
DEL,20.660833,15.9167
DEL,20.777500,16.1333
DEL,20.724167,15.0833
DEL,20.625833,14.6000
DEL,,
DRA,11.523333,69.3333
DRA,12.558056,69.7833
DRA,14.073333,64.3667
DRA,15.415556,58.9667
DRA,16.031667,58.5667
DRA,16.399722,61.5000
DRA,17.146667,65.7167
DRA,18.351111,72.7333
DRA,19.259167,73.3500
DRA,19.802778,70.2667
DRA,19.209167,67.6667
DRA,17.892222,56.8667
DRA,17.536111,55.1833
DRA,17.507222,52.3167
DRA,17.943333,51.4833
DRA,17.892222,56.8667
DRA,,
EQU,21.263889,5.2500
EQU,21.241389,10.0000
EQU,21.172500,10.1333
EQU,,
GRU,22.137222,-46.9667
GRU,22.711111,-46.8833
GRU,23.172500,-45.2500
GRU,,
GRU,23.014722,-52.7500
GRU,22.809167,-51.3167
GRU,22.711111,-46.8833
GRU,22.487778,-43.4833
GRU,22.260278,-41.3500
GRU,22.101667,-39.5500
GRU,21.898889,-37.3667
GRU,,
HER,17.250833,36.8000
HER,16.715000,38.9333
HER,16.688056,31.6000
HER,17.005000,30.9167
HER,17.250833,36.8000
HER,17.394722,37.1333
HER,17.937500,37.2500
HER,17.657500,46.0167
HER,16.328889,46.3167
HER,16.146111,44.9333
HER,16.568333,42.4500
HER,17.657500,46.0167
HER,,
HER,17.005000,30.9167
HER,16.503611,21.4833
HER,16.365556,19.1500
HER,,
HER,17.005000,30.9167
HER,17.774444,27.7333
HER,17.512222,26.1000
HER,17.250556,24.8333
HER,17.244167,14.3833
HER,,
HER,17.774444,27.7333
HER,17.962778,29.2500
HER,17.250833,36.8000
HER,,
HER,17.962778,29.2500
HER,18.125556,28.7667
HER,18.146111,20.8167
HER,18.395000,21.7667
HER,18.760833,20.5500
HER,18.783611,18.1833
HER,,
HYI,0.429167,-77.2500
HYI,3.787222,-74.2500
HYI,2.659722,-68.2667
HYI,2.362500,-68.6667
HYI,1.979444,-61.5667
HYI,,
IND,20.626111,-47.2833
IND,21.330833,-53.4500
IND,21.965278,-54.9833
IND,,
IND,21.330833,-53.4500
IND,20.913611,-58.4500
IND,,
LAC,22.492222,47.7167
LAC,22.521389,50.2833
LAC,22.392778,52.2333
LAC,22.408611,49.4667
LAC,22.492222,47.7167
